iter	RMSE
0	108.2913539
1	103.2607657
2	98.53122972
3	94.41766986
4	91.16491821
5	88.08639748
6	85.59485788
7	83.34236726
8	81.44907344
9	79.61062394
10	78.14771647
11	76.78519183
12	75.42505896
13	74.37072165
14	73.46694831
15	72.61986596
16	72.02264373
17	71.44349946
18	70.93247032
19	70.39819356
20	69.93172635
21	69.53736709
22	69.18165085
23	68.85015329
24	68.54976449
25	68.29479403
26	68.04459993
27	67.77018256
28	67.55888026
29	67.34111833
30	67.12393303
31	66.81739215
32	66.62660476
33	66.42813755
34	66.23032255
35	66.21483941
36	66.07927369
37	65.94661927
38	65.8713401
39	65.64069976
40	65.49449077
41	65.41077831
42	65.36064075
43	65.25707223
44	65.1861046
45	65.0737207
46	64.94665192
47	64.8181303
48	64.69303209
49	64.60839537
50	64.51127907
51	64.35061361
52	64.27727257
53	64.14599099
54	64.01389028
55	63.92533145
56	63.83441718
57	63.73925357
58	63.66405501
59	63.58081048
60	63.52541312
61	63.45383355
62	63.39793925
63	63.3321806
64	63.27963348
65	63.17942294
66	63.07549658
67	63.00948587
68	62.9336473
69	62.8711988
70	62.7436582
71	62.66925685
72	62.62996076
73	62.57841327
74	62.53042415
75	62.45483789
76	62.37804184
77	62.30884852
78	62.24722501
79	62.18425508
80	62.07480216
81	62.03943873
82	61.96041811
83	61.89583509
84	61.80809501
85	61.71933019
86	61.65271226
87	61.59130155
88	61.51787249
89	61.4474547
90	61.35491199
91	61.28864168
92	61.20333575
93	61.12370957
94	61.05347782
95	61.00149647
96	60.95292336
97	60.88845925
98	60.82001137
99	60.73901048
