iter	Passed	Remaining
0	73	7265
1	89	4377
2	104	3387
3	119	2875
4	135	2571
5	150	2363
6	168	2237
7	186	2139
8	202	2043
9	219	1974
10	234	1897
11	251	1846
12	267	1792
13	282	1736
14	300	1702
15	315	1656
16	331	1616
17	346	1577
18	364	1553
19	379	1519
20	395	1486
21	410	1453
22	426	1428
23	441	1398
24	456	1370
25	474	1351
26	492	1332
27	508	1307
28	526	1288
29	544	1270
30	562	1251
31	579	1231
32	597	1212
33	613	1191
34	629	1168
35	647	1150
36	662	1128
37	680	1109
38	699	1094
39	717	1076
40	733	1055
41	751	1037
42	768	1019
43	785	1000
44	804	983
45	822	965
46	840	947
47	857	928
48	872	908
49	891	891
50	906	871
51	923	852
52	941	835
53	958	816
54	976	799
55	993	780
56	1009	761
57	1026	743
58	1044	726
59	1062	708
60	1077	688
61	1091	668
62	1108	651
63	1127	633
64	1145	616
65	1159	597
66	1178	580
67	1196	563
68	1214	545
69	1229	527
70	1249	510
71	1270	493
72	1289	476
73	1307	459
74	1325	441
75	1343	424
76	1361	406
77	1379	389
78	1396	371
79	1413	353
80	1434	336
81	1452	318
82	1470	301
83	1488	283
84	1502	265
85	1518	247
86	1534	229
87	1552	211
88	1570	194
89	1587	176
90	1601	158
91	1619	140
92	1636	123
93	1653	105
94	1670	87
95	1690	70
96	1707	52
97	1724	35
98	1744	17
99	1759	0
